pseudo_id,labels,n_frames,n_labels
GQbF,"[0, 1, 35, 48, 85, 177]",216,6
A2bF,"[0, 1, 27]",245,3
AwbF,"[0, 1]",300,2
AhbF,"[3, 6]",250,2
ffbF,[3],245,1
mAbF,"[193, 1301]",197,2
43bF,"[0, 1, 63, 167]",191,4
dybF,[133],282,1
kHbF,"[8, 558]",300,2
KibF,[110],300,1
ZJbF,"[0, 1, 19, 753, 2165, 2852]",270,6
uSbF,[828],300,1
0nbF,"[3, 4, 6, 41]",300,4
NfbF,[9],182,1
QGbF,"[11, 511, 642]",205,3
dFbF,"[0, 26, 130, 765, 1092, 1175, 2714]",300,7
RPbF,"[0, 1, 5, 144, 190, 384, 2021]",300,7
RvbF,"[68, 72, 452, 480, 667]",146,5
jmbF,"[39, 156, 202]",300,3
80bF,"[14, 3090]",300,2
zgbF,"[3, 6, 89]",300,3
BubF,"[3, 6]",222,2
o0bF,"[296, 359, 525, 1288]",300,4
zlbF,"[100, 161]",300,2
83bF,"[2, 44, 46, 64]",182,4
XubF,"[50, 65, 2122]",271,3
fqbF,"[21, 23, 24, 73, 74, 131, 209]",300,7
UpbF,"[2, 30, 905, 2581]",120,4
RobF,"[0, 79, 91, 918]",300,4
SVbF,"[0, 1, 1418, 3428]",125,4
JLbF,"[0, 226, 1233, 1380, 1426, 1525]",255,6
LBbF,"[11, 20, 302, 625, 1049, 2004]",300,6
KMbF,[964],224,1
nCbF,"[3, 4, 13, 54]",279,4
2qbF,"[3, 4, 10, 13, 54, 97, 243, 278, 552, 870]",255,10
BZbF,"[2, 76]",168,2
fRbF,"[88, 184, 380]",156,3
mkbF,"[210, 685]",248,2
zAbF,"[0, 1, 157, 1941]",219,4
6jbF,[195],181,1
vVbF,[3],132,1
aBbF,"[6, 8]",300,2
RjbF,"[0, 1, 5]",249,3
hkbF,[816],300,1
tNbF,"[0, 1, 36, 142]",300,4
yZbF,[14],212,1
ZKbF,"[3, 4, 9]",288,3
5gbF,[14],297,1
VJbF,"[0, 24, 74, 187]",256,4
2xbF,"[0, 79]",183,2
NibF,"[0, 1, 5, 35, 3693]",300,5
XCbF,[14],225,1
ALbF,"[21, 24, 1288]",209,3
hTbF,[53],300,1
nRbF,"[3, 4]",300,2
GnbF,"[3, 4, 6]",227,3
JGbF,[3771],300,1
RZbF,"[0, 1, 27]",217,3
mUbF,[10],267,1
CubF,"[0, 1, 223, 323]",300,4
mEbF,"[12, 1225]",300,2
P4bF,"[43, 60]",140,2
TZbF,[0],194,1
pLbF,"[4, 9, 10, 34]",190,4
cUbF,[296],197,1
sYbF,"[1890, 2770]",274,2
4kbF,"[2, 7, 95, 135]",300,4
VDbF,"[31, 40, 47, 57, 348, 833]",300,6
F0bF,"[0, 1, 35, 865, 1642]",300,5
xAbF,[3],300,1
HTbF,"[0, 1, 42, 111, 1992]",300,5
IdbF,"[2, 30, 55]",300,3
nBbF,"[2, 45, 51, 56, 77, 137]",230,6
s5bF,"[13, 164, 175, 671, 1213]",300,5
oibF,"[0, 1, 35, 768]",300,4
jTbF,"[0, 1, 36, 142]",293,4
cPbF,"[53, 58, 163, 232]",180,4
S7bF,[8],300,1
7BbF,"[5, 16, 49, 84]",152,4
YsbF,[41],244,1
uHbF,"[4, 13, 54, 164, 168]",189,5
kibF,[3],224,1
gEbF,[205],223,1
bLbF,[3],282,1
VebF,"[0, 1, 5, 822, 2950]",300,5
TjbF,"[2, 17, 76, 1068, 1192]",123,5
tmbF,[158],300,1
FHbF,"[5, 644, 769]",125,3
KdbF,"[1, 25, 189, 645, 831]",159,5
xBbF,"[15, 43, 374, 499, 693, 1474]",300,6
GpbF,"[5, 354, 3652]",300,3
SlbF,[1416],300,1
QCbF,[557],300,1
2vbF,"[2, 17, 83, 258, 778]",233,5
ambF,"[2, 7]",191,2
v5bF,"[0, 12]",300,2
CVbF,"[49, 80, 127, 277, 770]",161,5
tvbF,"[0, 63, 336, 1405]",300,4
01bF,"[2, 218]",267,2
UrbF,"[25, 315]",300,2
cubF,"[28, 33, 38, 78, 86, 987]",248,6
UObF,"[12, 689, 1062]",187,3
RubF,"[0, 1, 36, 582]",300,4
cAbF,[3],300,1
VHbF,"[11, 20, 22, 211, 321]",184,5
hBbF,"[2, 30]",133,2
FsbF,"[2, 26, 30, 64, 130]",285,5
pibF,"[5, 354]",300,2
5QbF,"[0, 21, 23, 215, 217, 643]",300,6
CIbF,"[0, 2513]",300,2
IZbF,"[0, 1, 1370]",261,3
n1bF,"[8, 89]",177,2
gUbF,"[5, 2322]",241,2
xebF,"[17, 19, 143, 340]",300,4
QobF,[705],208,1
dUbF,"[11, 1593, 2956]",125,3
vxbF,"[21, 23, 24, 2454]",300,4
IlbF,"[0, 1, 159]",300,3
GAbF,"[31, 40, 47, 57]",194,4
esbF,"[11, 83, 601, 3714]",203,4
pbbF,[133],300,1
H1bF,"[2, 76, 227, 474, 3555]",158,5
7xbF,"[0, 1, 35, 85]",300,4
gebF,"[2, 7, 48, 165, 171, 177, 213, 373, 415, 1352, 1429, 1456, 3117, 3241]",173,14
91bF,"[82, 103, 346, 350]",136,4
c1bF,"[195, 717]",178,2
AObF,"[0, 1, 35, 230, 1169]",300,5
oxbF,[33],175,1
dBbF,"[2, 44, 64, 113, 119, 186, 475]",137,7
0QbF,[12],122,1
9DbF,"[243, 348, 833, 1357]",300,4
1xbF,[0],143,1
ZUbF,"[2, 30, 280, 608]",166,4
N6bF,"[0, 1, 42, 111, 431]",221,5
e7bF,"[28, 33, 38, 78, 86]",300,5
VAbF,"[0, 1]",276,2
PfbF,"[3, 4]",207,2
VbbF,"[2, 7]",300,2
WXbF,"[49, 80, 84, 169, 265, 922]",300,6
6NbF,"[53, 58, 2158]",264,3
1HbF,[14],232,1
CabF,"[17, 19, 143]",300,3
cfbF,"[71, 152, 308]",180,3
bJbF,"[3, 6, 8]",278,3
HAbF,[3],180,1
nkbF,"[4, 9, 10, 34]",162,4
DWbF,"[2, 75, 296, 525, 632, 3284]",239,6
pzbF,"[0, 27]",194,2
nDbF,[433],262,1
rcbF,[14],247,1
OvbF,[252],120,1
NubF,"[0, 1, 5, 159, 349, 1419, 1740]",269,7
s6bF,"[21, 23, 24, 73, 758, 3393]",300,6
EobF,"[4, 9, 10, 37]",300,4
S5bF,[3],300,1
iRbF,"[0, 523, 802]",164,3
e6bF,"[26, 2714]",300,2
LgbF,"[0, 1, 124, 317]",300,4
38bF,"[0, 1, 357, 372]",135,4
2obF,"[2, 7, 2268]",247,3
mNbF,[990],160,1
6ubF,"[3, 4]",199,2
jQbF,[11],151,1
D6bF,"[2, 45, 51, 418]",194,4
JUbF,"[2, 7]",300,2
0rbF,[225],169,1
S6bF,[14],120,1
w1bF,"[0, 1, 36, 132]",226,4
NEbF,"[0, 1, 36, 147, 218, 1805]",230,6
uebF,"[0, 12]",239,2
VvbF,"[269, 320]",300,2
NYbF,"[5, 3226]",192,2
CEbF,"[48, 258, 926, 1054]",278,4
OqbF,"[49, 80, 127]",137,3
j9bF,[3],283,1
M3bF,"[39, 50, 529, 1104]",170,4
mtbF,"[0, 799, 815]",147,3
NQbF,"[100, 161]",250,2
jybF,"[53, 58, 163, 232]",131,4
KQbF,"[15, 18, 59, 178, 368, 555, 797, 2543, 2603]",169,9
VzbF,"[0, 1, 25, 349, 590, 976]",142,6
1VbF,"[2, 43, 76]",300,3
ePbF,"[18, 67, 140]",160,3
khbF,"[3, 4, 6, 10, 13, 54, 97, 243, 278, 552, 870]",300,11
bwbF,"[64, 1043]",126,2
ApbF,[111],300,1
47bF,"[0, 52]",185,2
k1bF,[61],300,1
uMbF,[25],144,1
SLbF,"[0, 1, 968]",251,3
ExbF,"[11, 20, 22, 29, 32, 122, 1489]",300,7
IVbF,"[21, 23, 24, 758, 2892]",150,5
uCbF,[308],291,1
YwbF,"[0, 12]",256,2
4JbF,"[0, 1, 35, 85]",146,4
ENbF,"[6, 8, 834]",251,3
4fbF,"[0, 1]",158,2
IXbF,"[3, 4, 6, 10]",174,4
YkbF,"[3, 4, 6, 10]",300,4
vKbF,[11],300,1
2YbF,"[0, 1, 124, 180, 287]",300,5
TEbF,[8],255,1
uBbF,[15],300,1
PLbF,[349],205,1
HObF,[8],269,1
v4bF,"[2, 7, 116, 165]",137,4
avbF,"[0, 1, 19, 2852]",184,4
yobF,"[11, 20, 22, 32, 112, 303, 397, 543]",209,8
Z3bF,[51],152,1
akbF,[310],127,1
NAbF,"[15, 18, 67, 699, 1122, 2256, 3494]",123,7
nObF,"[0, 1, 134]",169,3
VRbF,"[8, 201]",300,2
bPbF,"[46, 107, 114]",265,3
mVbF,"[0, 1, 241]",300,3
BXbF,[1074],200,1
JlbF,"[0, 241]",195,2
cRbF,"[3, 4, 13, 41]",236,4
xCbF,[539],300,1
YBbF,"[3, 4, 6]",256,3
SmbF,"[62, 390, 485, 748]",120,4
DKbF,"[88, 313, 1638, 2001]",300,4
fXbF,"[2, 30]",121,2
5BbF,"[68, 72]",152,2
wgbF,"[11, 262, 751]",277,3
xJbF,"[8, 61, 71, 152]",300,4
9xbF,"[15, 18, 251, 347, 862, 1658]",300,6
zpbF,"[11, 877]",131,2
oabF,"[15, 18, 59, 178, 773, 805]",263,6
zrbF,"[2, 7, 90, 3249]",222,4
XFbF,"[217, 600]",140,2
NvbF,"[0, 1, 436, 1302]",300,4
TMbF,"[1, 105, 349, 424, 484, 488, 510, 535, 590, 1403]",212,10
rpbF,"[8, 414]",300,2
FSbF,"[168, 565, 1001]",140,3
9NbF,"[2, 7, 17, 128, 252, 979, 1962]",288,7
aVbF,"[4, 9, 13]",300,3
gobF,"[3, 6]",227,2
kcbF,"[5, 16]",153,2
prbF,[106],225,1
96bF,"[3, 6]",127,2
KSbF,"[3, 6, 41]",241,3
C8bF,"[5, 26, 526, 647, 956]",230,5
vXbF,"[10, 1542]",172,2
EXbF,[2186],186,1
iFbF,"[2, 64, 76, 149, 1043, 3804]",300,6
H4bF,"[50, 65, 256, 998]",235,4
TKbF,[25],180,1
ZfbF,"[2, 7, 62, 90, 267]",130,5
9abF,"[0, 12]",134,2
axbF,[1801],287,1
WtbF,"[0, 12]",300,2
55bF,[13],221,1
KwbF,[726],156,1
GDbF,"[1, 21, 23, 24]",300,4
7QbF,"[125, 311]",205,2
ezbF,"[5, 16, 84, 169, 328, 405]",139,6
ZcbF,"[2, 7, 75, 172, 437, 1339]",158,6
BebF,"[3, 4, 10, 13]",233,4
GJbF,"[4, 9, 10, 34, 37]",192,5
YgbF,[270],130,1
qnbF,"[0, 1, 19, 53, 58]",300,5
uFbF,"[2, 7, 104, 305]",300,4
LObF,"[3, 2195]",132,2
2dbF,"[26, 194, 441, 445]",131,4
HQbF,[429],300,1
KXbF,"[12, 689]",259,2
A0bF,"[2, 26, 64, 149, 593, 902]",192,6
3obF,"[39, 50, 503]",300,3
nYbF,"[3, 6]",198,2
xibF,[6],300,1
KTbF,"[0, 79]",300,2
PrbF,[3],300,1
QebF,[61],143,1
8kbF,"[0, 1, 777, 1404, 3660]",300,5
RVbF,"[0, 1, 5, 581]",181,4
DIbF,"[26, 130, 189, 435, 610, 2483]",300,6
KgbF,"[0, 1, 1729]",300,3
fVbF,"[195, 1600, 2002]",300,3
3vbF,"[3, 4, 6]",235,3
uXbF,[41],300,1
xWbF,[5],174,1
7UbF,[25],164,1
9CbF,"[53, 58, 163, 232]",300,4
n8bF,"[100, 161, 356, 704, 1515]",146,5
HabF,"[4, 6, 33, 38]",300,4
BlbF,"[53, 58, 228]",267,3
Z0bF,"[9, 10, 34, 840]",300,4
N1bF,"[141, 255]",235,2
8DbF,"[0, 1, 219]",300,3
ahbF,"[2, 186, 380]",157,3
mfbF,"[0, 5, 2016, 3225]",226,4
BAbF,"[5, 16, 144, 190, 384]",184,5
b9bF,"[8, 383]",180,2
ftbF,[12],300,1
BibF,"[0, 226, 3144]",120,3
bobF,"[82, 103, 118, 329]",145,4
C6bF,"[88, 298]",223,2
NobF,"[0, 1, 5, 144, 190, 1350]",142,6
83bX,"[0, 79, 91]",300,3
xCbX,[5],222,1
gdbX,"[5, 16]",163,2
RMbX,"[15, 18, 170, 314]",135,4
v6bX,"[3, 6, 8, 414]",297,4
OnbX,"[18, 43, 59, 101, 549, 693, 906]",300,7
d5bX,[1587],130,1
0IbX,[3],234,1
X8bX,"[0, 1, 88, 242, 254, 313, 1331, 1364]",171,8
SCbX,"[141, 396]",128,2
qAbX,"[11, 20, 22, 29, 32, 528, 791]",134,7
SZbX,"[0, 52, 70, 125]",254,4
hzbX,"[3, 552]",263,2
PLbX,"[0, 591]",300,2
zxbX,"[0, 1, 124, 317, 898]",300,5
k6bX,"[0, 1, 1130]",251,3
J5bX,[461],300,1
P3bX,"[3, 4]",265,2
erbX,"[3, 4, 28]",300,3
G0bX,"[6, 66]",284,2
NzbX,[622],300,1
AmbX,[39],300,1
6ebX,"[15, 709, 1206, 3157]",155,4
otbX,"[799, 815]",228,2
DlbX,[2106],202,1
KDbX,"[4, 9, 10, 34]",275,4
EJbX,[8],286,1
mRbX,"[623, 672, 724]",300,3
5SbX,"[6, 8]",300,2
ztbX,[3],241,1
rUbX,"[0, 79, 91, 376]",300,4
HybX,"[9, 10, 37]",231,3
ZhbX,"[0, 1, 893]",121,3
U9bX,"[3, 4, 13, 31, 47, 54]",300,6
ekbX,"[3, 4, 6, 13]",269,4
SObX,"[269, 320]",180,2
xvbX,"[0, 12]",233,2
FYbX,"[60, 353, 642, 669, 673, 3553]",218,6
SXbX,"[2, 46, 451, 2285]",300,4
KSbX,[381],300,1
mMbX,"[88, 3062]",258,2
ogbX,"[0, 1, 1418, 2693, 3428]",136,5
9UbX,"[21, 23, 24, 115, 651]",154,5
wNbX,[21],300,1
1ZbX,"[3, 4, 13, 54]",284,4
ibbX,"[15, 18, 59, 178, 1260]",122,5
i4bX,"[2, 83]",201,2
pfbX,"[0, 12]",300,2
bnbX,[3],300,1
lSbX,"[401, 1007, 1037]",188,3
GVbX,"[0, 1, 5, 81, 108, 898, 1113, 1494]",156,8
ejbX,"[88, 313, 347, 821]",300,4
iTbX,"[1, 203]",202,2
yHbX,"[2, 7, 208]",254,3
sibX,"[339, 1431]",248,2
trbX,"[0, 42, 487]",300,3
KQbX,"[4, 9, 10, 34, 37, 1523]",244,6
mWbX,"[89, 419]",236,2
4LbX,"[843, 1513]",196,2
LwbX,"[0, 12]",213,2
fnbX,"[68, 72, 98, 452, 480]",213,5
ipbX,[25],153,1
HkbX,"[0, 1, 36, 180, 219]",173,5
15bX,"[3, 6]",203,2
FlbX,"[16, 136, 1023]",198,3
r8bX,"[3, 4, 54]",186,3
zfbX,"[3, 4, 13]",300,3
q4bX,[25],139,1
PUbX,"[50, 66]",300,2
XwbX,"[17, 19, 448, 659]",242,4
bobX,"[0, 12]",300,2
cLbX,"[1, 25, 36, 94]",212,4
5mbX,"[4, 13, 28, 33, 168]",185,5
cPbX,[797],163,1
3AbX,"[2, 218]",159,2
2HbX,"[15, 499, 723]",177,3
hxbX,"[251, 616, 1619]",184,3
rJbX,"[0, 63]",140,2
FvbX,"[2, 7, 218]",300,3
E7bX,"[3, 28]",300,2
NHbX,"[1932, 3555]",151,2
GjbX,[11],277,1
t2bX,"[2, 45, 51, 56, 77, 137, 298, 1952]",271,8
aXbX,"[2, 44, 46, 107, 109, 114, 138, 155]",144,8
45bX,"[2, 30, 55, 1407]",300,4
BLbX,"[31, 40]",125,2
xxbX,"[0, 1, 36, 403]",300,4
88bX,"[11, 20, 22, 123, 176, 462, 1016, 2488]",300,8
VDbX,"[0, 1, 27]",300,3
NDbX,"[1, 217]",230,2
HlbX,"[0, 12, 312]",188,3
qpbX,"[3, 4, 13, 54, 168, 330, 565]",163,7
CLbX,"[0, 79]",270,2
ohbX,"[2, 56, 218]",182,3
dIbX,"[3, 4]",261,2
6UbX,"[5, 49, 80, 127, 265, 694]",219,6
26bX,"[1, 349, 524]",193,3
6SbX,"[5, 2056]",217,2
YLbX,"[4, 9, 10, 34]",166,4
wibX,"[0, 1, 1340]",172,3
GEbX,"[245, 410, 722]",287,3
dGbX,"[0, 1, 139]",129,3
5ObX,"[4, 9, 14, 28, 33, 37, 38, 154]",179,8
53bX,"[17, 19, 2115]",300,3
p8bX,"[2, 7, 495, 2229]",130,4
QsbX,"[0, 1, 5, 395]",300,4
ysbX,"[3, 89, 324]",214,3
SxbX,[2701],187,1
bSbX,[12],253,1
GqbX,"[11, 572, 829, 2205]",300,4
mObX,"[39, 66]",300,2
iybX,"[0, 1605]",142,2
sSbX,[14],203,1
YPbX,[3],225,1
rbbX,[1165],175,1
lIbX,[304],282,1
mqbX,"[0, 12]",167,2
PRbX,"[6, 8, 558]",219,3
JabX,"[3, 4, 9, 10, 28, 33]",253,6
6JbX,"[189, 645]",181,2
mgbX,"[53, 58, 163, 232]",197,4
dWbX,"[1, 36, 94]",291,3
HjbX,[14],233,1
f8bX,"[68, 72]",134,2
pbbX,[39],284,1
3CbX,"[88, 652, 2479]",177,3
9SbX,"[0, 1, 139]",282,3
JvbX,[816],300,1
SNbX,"[3, 28, 33, 38]",300,4
m7bX,[194],300,1
UbbX,"[5, 16, 84]",185,3
0dbX,"[0, 1, 69, 417, 784, 1085]",243,6
VAbX,"[17, 19]",264,2
agbX,"[2, 30, 55, 280, 305]",172,5
7fbX,"[0, 1, 27, 1077]",231,4
dgbX,"[2, 7, 1282]",131,3
XEbX,[154],257,1
BBbX,"[0, 92, 110]",300,3
nqbX,"[53, 58, 214]",300,3
2dbX,"[3, 4]",300,2
ZBbX,"[6, 8, 857]",300,3
sIbX,"[3, 4, 14]",175,3
RKbX,[25],129,1
UebX,"[53, 58, 163, 232, 3725]",212,5
plbX,"[11, 20, 22, 29, 32, 120, 122, 123, 250, 303, 321, 368, 2352]",148,13
WxbX,"[0, 1, 36, 403]",300,4
9LbX,"[2, 30, 940, 1166, 1974]",234,5
dzbX,"[18, 87, 2132]",223,3
2bbX,"[1, 1861, 3661]",125,3
7FbX,[954],235,1
xKbX,"[4, 9, 14]",267,3
FTbX,"[3, 4]",218,2
6vbX,[3],193,1
u4bX,[80],206,1
qObX,"[5, 81]",257,2
91bX,"[2, 45, 51, 56]",279,4
xGbX,"[0, 1, 35, 85]",190,4
aZbX,"[327, 772, 1347, 3110, 3148]",277,5
gFbX,"[0, 82, 103, 118]",224,4
hgbX,"[15, 18, 59]",157,3
UmbX,"[0, 12]",300,2
kmbX,[3],274,1
dAbX,[3],210,1
lVbX,"[11, 20, 229, 771, 917, 2034]",185,6
AdbX,"[0, 1, 1873]",300,3
7TbX,"[3, 6]",188,2
4ZbX,"[3, 13, 41]",222,3
3tbX,[21],127,1
PhbX,[5],170,1
MObX,[474],300,1
JpbX,"[0, 52, 70]",300,3
TcbX,"[180, 304]",300,2
h6bX,"[0, 111]",265,2
yDbX,"[9, 28, 33, 38, 3389]",300,5
ZmbX,[146],199,1
PBbX,"[68, 72, 98, 240]",156,4
w4bX,[3],300,1
qsbX,"[2, 7, 531, 2246]",300,4
WabX,"[0, 12]",122,2
6gbX,"[11, 20, 22, 29, 211, 930, 1156, 1489]",189,8
wFbX,"[2, 7, 116, 266]",148,4
LzbX,"[5, 16, 126]",300,3
gDbX,[8],204,1
TObX,[1790],300,1
oRbX,"[5, 16, 136]",182,3
5FbX,"[5, 84]",129,2
pybX,"[11, 126, 2069]",294,3
SVbX,"[5, 16]",208,2
GtbX,"[3, 4, 6, 10]",300,4
zKbX,"[141, 247, 255, 3083]",300,4
TTbX,[3822],198,1
KXbX,"[11, 2091, 2126]",300,3
KbbX,"[0, 811, 1317]",282,3
bEbX,"[0, 12]",239,2
FjbX,"[0, 1, 63, 336, 1405]",300,5
5CbX,"[0, 1, 63, 633]",206,4
qBbX,"[3, 4, 6]",300,3
KAbX,"[68, 72, 452, 480]",124,4
BebX,[8],164,1
sJbX,"[17, 19]",300,2
0pbX,"[11, 20, 22, 123, 176, 250, 1201, 2094, 2630]",171,9
6xbX,"[2, 7, 174, 361, 715, 830, 1219]",168,7
l4bX,"[116, 2682]",124,2
IIbX,[5],151,1
OkbX,"[388, 606, 2639, 3844]",164,4
IfbX,[1105],259,1
dUbX,[25],153,1
h9bX,"[0, 1, 93, 102]",300,4
8cbX,"[635, 642, 2413]",122,3
AvbX,"[3, 4, 9]",204,3
pqbX,[5],202,1
2gbX,"[5, 16, 857, 1064]",216,4
PDbX,"[3, 4, 168, 330]",186,4
04bX,[84],265,1
kDbX,"[40, 117]",300,2
hhbX,"[2, 30, 2581]",200,3
uFbX,"[0, 961]",225,2
bWbX,"[0, 1, 654]",300,3
gTbX,"[0, 1, 2724]",300,3
3gbX,"[99, 518, 716, 1062]",137,4
yGbX,[1253],300,1
ScbX,"[0, 1, 5, 150, 809, 1270]",300,6
uWbX,"[15, 26, 1044, 1090]",299,4
8ebX,[8],294,1
L4bX,"[15, 96]",289,2
APbX,[9],235,1
DKbX,"[0, 1, 357, 372]",300,4
FmbX,"[0, 1, 35, 309, 1318]",300,5
9ObX,[225],226,1
Q9bX,[3],300,1
6rbX,"[0, 1, 352]",300,3
nJbX,"[4, 13]",134,2
5pbX,"[15, 18, 96, 463, 708]",300,5
zMbX,[16],119,1
SpbX,[2723],300,1
hObX,"[4, 9, 10, 34, 37]",202,5
M2bX,"[14, 282, 1338, 1362]",300,4
cFbX,"[3, 4]",185,2
nBbX,"[2, 7, 83, 90]",208,4
Q7bX,[4],300,1
YNbX,"[0, 1, 3468]",159,3
cgbX,"[0, 52]",164,2
SLbX,[2180],150,1
YbbX,"[0, 1, 5, 1033]",149,4
awbX,[1475],300,1
qdbX,"[0, 12]",275,2
N7bX,[349],221,1
zWbX,"[11, 20, 22, 29, 32, 112, 370, 444, 472, 680, 2521]",262,11
j3bX,"[0, 1, 180]",177,3
RqbX,"[2, 17, 75, 95, 135, 172, 235, 490, 583, 2780]",259,10
sXbX,"[201, 726]",274,2
IobX,"[2, 17, 172]",300,3
FCbX,"[883, 2554]",148,2
U3bX,"[11, 20, 22, 29, 32, 122, 123, 462, 2946]",300,9
7BbX,[3],282,1
G1bX,"[6, 8]",189,2
7rbX,"[141, 396, 746, 1289]",263,4
rabX,"[3, 4, 6]",194,3
rcbX,"[0, 12]",169,2
cqbX,"[3, 6]",300,2
uEbX,[61],290,1
b9bX,"[17, 19, 129]",300,3
QibX,"[1, 25, 159, 951, 2167, 2595]",300,6
fObX,"[3, 4, 6]",159,3
PgbX,[3],228,1
SkbX,"[50, 503]",189,2
YibX,[14],232,1
xYbX,[588],300,1
BDbX,"[2, 7, 17, 128, 174, 1053, 1219, 1324]",300,8
mfbX,"[0, 93, 102, 1193]",300,4
ndbX,"[4, 9, 10, 34]",300,4
3UbX,"[53, 58, 163, 232, 427]",148,5
xAbX,[41],292,1
4bbX,"[2, 7]",146,2
3vbX,"[0, 1, 42, 102, 1244]",300,5
6ObX,"[3, 3238]",300,2
w3bX,"[11, 20, 22, 29, 32, 334, 564]",137,7
lbbX,"[497, 616, 966, 1619, 2787]",201,5
jhbX,"[0, 52, 70, 125]",154,4
iWbX,"[2, 30, 280, 1178]",286,4
1bbX,[14],300,1
WubX,"[2, 544]",290,2
xwbX,"[111, 275, 584, 1285]",162,4
w1bX,"[4, 9, 10, 37, 655]",171,5
cdbX,"[11, 20, 22, 32, 112, 120, 543, 1775, 2155]",190,9
RdbX,[709],232,1
U4bX,"[2, 45, 51, 77, 298]",153,5
y9bX,[429],216,1
fDbX,[8],235,1
hobX,"[0, 1, 5]",232,3
YmbX,"[26, 259, 1090]",300,3
MZbX,"[0, 1, 1149]",216,3
7GbX,"[2, 7]",169,2
VFbX,"[3, 6]",300,2
wjbX,"[3, 6]",198,2
CdbX,"[50, 65, 493, 1060]",300,4
59bX,[315],180,1
eCbX,"[2, 109, 145, 507, 602, 631]",300,6
RVbX,[299],264,1
SabX,[5],156,1
ZubX,[14],224,1
STbX,"[16, 194]",152,2
H2bX,"[88, 2885]",300,2
DUbX,"[2, 45, 51, 212]",277,4
4ybX,"[0, 92, 110]",175,3
ZLbX,[1656],185,1
w9bX,"[3, 2703]",275,2
5HbX,[875],125,1
BRbX,"[3, 4, 6]",300,3
JDbX,[3],194,1
lGbX,[1639],256,1
i7bX,[418],300,1
uQbX,"[3, 4, 13, 41]",251,4
q2bX,"[0, 70, 125]",176,3
rnbX,"[21, 23, 24]",300,3
j5bX,"[4, 13, 41]",200,3
aFbX,[551],167,1
ImbX,[5],300,1
2TbX,[25],125,1
VObX,"[0, 1, 16, 25]",141,4
cUbX,[301],300,1
zYbX,"[0, 1, 27]",300,3
CzbX,"[5, 1612]",205,2
EGbX,"[277, 388, 497, 1079]",209,4
4DbX,"[0, 1, 2005, 2179]",209,4
5XbX,"[0, 1, 1319]",130,3
ywbX,"[11, 434, 1186]",188,3
XhbX,[0],300,1
YGbX,"[0, 1, 42, 487]",170,4
lAbX,[3],275,1
xNbX,[43],122,1
GsbX,"[15, 18, 170]",300,3
CYbX,"[4, 9, 14]",235,3
GcbX,"[17, 19, 659, 3480]",120,4
cBbX,"[0, 1, 105, 245, 424]",204,5
22bX,[310],213,1
kVbX,"[2, 83, 1453]",137,3
KabX,[203],174,1
4gbX,"[21, 23, 24, 3136]",276,4
sfbX,"[21, 23, 24, 115, 520, 1246]",300,6
XobX,[89],177,1
DCbX,"[2, 17]",142,2
REbX,"[0, 5, 644]",247,3
AZbX,"[3, 4, 6, 13]",229,4
92bX,"[2, 44, 46, 64, 113, 119]",224,6
CrbX,"[2, 7, 48, 469, 878, 1394, 1692]",239,7
R4bX,"[9, 34]",155,2
dqbX,"[0, 1, 25, 236, 358, 404, 589]",143,7
3cbX,[4],214,1
6zbX,"[21, 23, 24, 74, 131, 209]",300,6
l0bX,"[0, 1, 35, 85, 508]",300,5
mlbX,"[0, 451, 780, 1301]",126,4
w2bX,"[24, 74, 187]",300,3
O5bX,[61],253,1
QPbX,[366],128,1
WibX,"[0, 1, 836]",300,3
tcbX,"[0, 1, 3301]",204,3
tbbX,"[8, 1633]",276,2
EpbX,"[2, 17, 30, 55, 196, 361]",119,6
1ubX,"[18, 43, 59, 60, 101, 286]",298,6
l6bX,"[11, 20, 22, 29, 32]",262,5
2qbX,"[0, 27]",300,2
YDbX,"[461, 498, 1629, 2100]",210,4
WIbX,[310],163,1
BybX,[205],300,1
FDbX,"[3, 6]",209,2
FZbX,[269],270,1
u3bX,"[2, 44, 46, 107, 3492]",148,5
ocbX,"[53, 58]",121,2
YSbX,"[2, 7, 2039]",121,3
8UbX,"[3, 4, 9]",300,3
msbX,"[26, 130, 1651]",147,3
AzbX,"[3, 6]",196,2
gebX,"[0, 1, 27]",163,3
wzbX,"[275, 584, 3569]",135,3
PNbX,[8],224,1
fjbX,[3],229,1
jVbX,"[0, 1, 27]",281,3
0fbX,"[0, 1, 856]",218,3
zgbX,"[5, 14]",235,2
FxbX,[5],300,1
5VbX,"[17, 19, 143]",267,3
djbX,[4],219,1
sObX,"[3, 6]",256,2
QZbX,"[5, 74, 131, 246]",211,4
5LbX,"[0, 5]",250,2
gpbX,"[0, 1, 27]",300,3
I1bX,"[64, 95, 149]",300,3
hlbX,"[0, 1, 27]",151,3
uVbX,"[3, 4]",183,2
pNbX,[1],300,1
BFbX,"[146, 158, 279, 439]",195,4
gQbX,[0],290,1
4BbX,"[4, 9, 10]",300,3
JHbX,"[0, 1, 5, 81, 108, 1113]",245,6
xXbX,"[4, 6, 10, 14]",244,4
fXbX,"[3, 4]",179,2
KebX,[310],225,1
S3bX,"[0, 1, 241]",231,3
l3bX,"[9, 10]",269,2
NTbX,"[10, 31, 40, 47, 97, 243]",252,6
zibX,"[0, 79, 91]",300,3
G2bX,"[21, 23, 24, 758]",300,4
bjbX,[210],231,1
